time,epoch,batch,loss,cost
0min1sec,5,10,-4.514,15.931
0min1sec,5,20,-3.466,15.903
0min1sec,5,30,-3.619,15.887
0min1sec,5,40,-2.541,15.916
0min1sec,5,50,-3.104,15.913
0min1sec,5,60,-3.268,15.954
0min1sec,5,70,-2.317,15.910
0min1sec,5,80,-2.773,15.935
0min1sec,5,90,-1.866,15.901
0min1sec,5,100,-0.638,15.840
0min1sec,5,110,-1.408,15.871
0min1sec,5,120,-1.507,15.904
0min1sec,5,130,-1.675,15.909
0min1sec,5,140,-1.653,15.924
0min1sec,5,150,-2.253,15.933
0min1sec,5,160,-2.106,15.911
0min1sec,5,170,-1.943,15.906
0min1sec,5,180,-2.319,15.914
0min1sec,5,190,-2.241,15.899
0min1sec,5,200,-2.789,15.930
0min1sec,5,210,-2.602,15.918
0min1sec,5,220,-2.864,15.932
0min1sec,5,230,-2.996,15.925
0min1sec,5,240,-3.108,15.936
0min1sec,5,250,-2.942,15.934
0min1sec,5,260,-2.710,15.921
0min1sec,5,270,-2.859,15.924
0min1sec,5,280,-2.698,15.925
0min1sec,5,290,-2.378,15.910
0min1sec,5,300,-2.324,15.909
0min1sec,5,310,-2.248,15.897
0min1sec,5,320,-2.177,15.886
0min1sec,5,330,-1.969,15.869
0min1sec,5,340,-1.691,15.856
0min1sec,5,350,-1.805,15.856
0min1sec,5,360,-1.552,15.847
0min1sec,5,370,-1.391,15.835
0min1sec,5,380,-1.254,15.835
0min1sec,5,390,-1.079,15.833
0min1sec,5,400,-1.133,15.830
0min1sec,5,410,-1.240,15.832
0min1sec,5,420,-1.234,15.835
0min1sec,5,430,-1.378,15.834
0min1sec,5,440,-1.599,15.848
0min1sec,5,450,-1.482,15.846
0min1sec,5,460,-1.574,15.847
0min1sec,5,470,-1.555,15.847
0min1sec,5,480,-1.488,15.844
0min1sec,5,490,-1.623,15.855
0min1sec,5,500,-1.624,15.852
0min1sec,5,510,-1.574,15.852
0min1sec,5,520,-1.500,15.847
0min1sec,5,530,-1.602,15.853
0min1sec,5,540,-1.661,15.858
0min1sec,5,550,-1.587,15.859
0min1sec,5,560,-1.564,15.859
0min1sec,5,570,-1.471,15.862
0min1sec,5,580,-1.624,15.863
0min1sec,5,590,-1.663,15.863
0min1sec,5,600,-1.848,15.867
0min1sec,5,610,-1.941,15.873
0min1sec,5,620,-2.071,15.882
0min14sec,6,0,6.100,15.244
0min1sec,6,10,0.249,15.557
0min1sec,6,20,-1.790,15.736
0min1sec,6,30,-2.232,15.695
0min1sec,6,40,-0.301,15.696
0min1sec,6,50,-3.370,15.808
0min1sec,6,60,-4.870,15.882
0min1sec,6,70,-5.927,15.938
0min1sec,6,80,-7.155,16.003
0min1sec,6,90,-7.655,16.035
0min1sec,6,100,-7.667,16.054
0min1sec,6,110,-7.761,16.046
0min1sec,6,120,-7.082,16.057
0min1sec,6,130,-7.043,16.062
0min1sec,6,140,-6.524,16.050
0min1sec,6,150,-7.022,16.053
0min1sec,6,160,-7.065,16.046
0min1sec,6,170,-7.130,16.066
0min1sec,6,180,-7.807,16.072
0min1sec,6,190,-7.929,16.072
0min1sec,6,200,-7.639,16.058
0min1sec,6,210,-7.631,16.057
0min1sec,6,220,-7.593,16.063
0min1sec,6,230,-7.462,16.043
0min1sec,6,240,-7.524,16.050
0min1sec,6,250,-7.045,16.040
0min1sec,6,260,-6.875,16.041
0min1sec,6,270,-6.933,16.038
0min1sec,6,280,-6.658,16.027
0min1sec,6,290,-6.457,16.025
0min1sec,6,300,-6.531,16.031
0min1sec,6,310,-6.418,16.021
0min1sec,6,320,-6.265,16.011
0min1sec,6,330,-6.292,16.011
0min1sec,6,340,-6.018,16.002
0min1sec,6,350,-5.986,15.993
0min1sec,6,360,-5.704,15.985
0min1sec,6,370,-5.592,15.981
0min1sec,6,380,-5.399,15.978
0min1sec,6,390,-5.146,15.972
0min1sec,6,400,-5.062,15.963
0min1sec,6,410,-5.092,15.958
0min1sec,6,420,-4.914,15.955
0min1sec,6,430,-4.960,15.955
0min1sec,6,440,-4.878,15.951
0min1sec,6,450,-4.648,15.951
0min1sec,6,460,-4.648,15.946
0min1sec,6,470,-4.600,15.945
0min1sec,6,480,-4.451,15.945
0min1sec,6,490,-4.356,15.939
0min1sec,6,500,-4.206,15.926
0min1sec,6,510,-4.170,15.926
0min1sec,6,520,-4.115,15.925
0min1sec,6,530,-4.208,15.932
0min1sec,6,540,-4.273,15.939
0min1sec,6,550,-4.100,15.939
0min1sec,6,560,-3.907,15.932
0min1sec,6,570,-3.718,15.928
0min1sec,6,580,-3.633,15.919
0min1sec,6,590,-3.676,15.919
0min1sec,6,600,-3.780,15.924
0min1sec,6,610,-3.764,15.922
0min1sec,6,620,-3.665,15.914
0min13sec,7,0,17.479,15.125
0min1sec,7,10,2.171,15.501
0min1sec,7,20,0.625,15.604
0min1sec,7,30,-0.928,15.734
0min1sec,7,40,-0.313,15.817
0min1sec,7,50,-3.191,15.862
0min1sec,7,60,-5.997,15.963
0min1sec,7,70,-8.831,16.062
0min1sec,7,80,-11.402,16.129
0min1sec,7,90,-11.432,16.135
0min1sec,7,100,-9.989,16.090
0min1sec,7,110,-8.764,16.036
0min1sec,7,120,-7.383,16.010
0min1sec,7,130,-7.040,16.010
0min1sec,7,140,-6.552,16.016
0min1sec,7,150,-6.857,16.027
0min1sec,7,160,-6.883,16.025
0min1sec,7,170,-6.360,16.010
0min1sec,7,180,-6.965,16.023
0min1sec,7,190,-6.988,16.022
0min1sec,7,200,-7.413,16.038
0min1sec,7,210,-7.484,16.046
0min1sec,7,220,-8.000,16.067
0min1sec,7,230,-8.722,16.071
0min1sec,7,240,-9.351,16.095
0min1sec,7,250,-9.350,16.099
0min1sec,7,260,-9.552,16.108
0min1sec,7,270,-9.580,16.104
0min1sec,7,280,-9.316,16.104
0min1sec,7,290,-8.816,16.089
0min1sec,7,300,-8.644,16.086
0min1sec,7,310,-8.930,16.093
0min1sec,7,320,-8.986,16.093
0min1sec,7,330,-8.888,16.089
0min1sec,7,340,-8.712,16.093
0min1sec,7,350,-8.949,16.094
0min1sec,7,360,-8.756,16.093
0min1sec,7,370,-8.922,16.101
0min1sec,7,380,-8.742,16.102
0min1sec,7,390,-8.535,16.102
0min1sec,7,400,-8.866,16.104
0min1sec,7,410,-9.280,16.111
0min1sec,7,420,-9.209,16.116
0min1sec,7,430,-9.516,16.120
0min1sec,7,440,-9.744,16.123
0min1sec,7,450,-9.440,16.122
0min1sec,7,460,-9.380,16.117
0min1sec,7,470,-9.329,16.113
0min1sec,7,480,-9.139,16.110
0min1sec,7,490,-8.999,16.104
0min1sec,7,500,-9.053,16.103
0min1sec,7,510,-8.870,16.100
0min1sec,7,520,-8.823,16.096
0min1sec,7,530,-8.647,16.087
0min1sec,7,540,-8.631,16.088
0min1sec,7,550,-8.505,16.088
0min1sec,7,560,-8.446,16.086
0min1sec,7,570,-8.178,16.082
0min1sec,7,580,-8.104,16.076
0min1sec,7,590,-8.039,16.074
0min1sec,7,600,-7.928,16.068
0min1sec,7,610,-7.846,16.063
0min1sec,7,620,-7.930,16.066
0min14sec,8,0,0.523,15.398
0min1sec,8,10,-4.758,15.792
0min1sec,8,20,-3.586,15.788
0min1sec,8,30,0.104,15.553
0min1sec,8,40,1.245,15.595
0min1sec,8,50,-0.509,15.661
0min1sec,8,60,-1.065,15.738
0min1sec,8,70,-1.033,15.746
0min1sec,8,80,-0.308,15.705
0min1sec,8,90,-0.200,15.701
0min1sec,8,100,-0.070,15.685
0min1sec,8,110,-0.089,15.702
0min1sec,8,120,0.608,15.680
0min1sec,8,130,0.911,15.657
0min1sec,8,140,1.096,15.661
0min1sec,8,150,0.887,15.671
0min1sec,8,160,0.490,15.688
0min1sec,8,170,0.349,15.699
0min1sec,8,180,-0.642,15.739
0min1sec,8,190,-0.361,15.703
0min1sec,8,200,-0.301,15.681
0min1sec,8,210,-0.280,15.696
0min1sec,8,220,-0.351,15.695
0min1sec,8,230,-0.562,15.693
0min1sec,8,240,-0.749,15.703
0min1sec,8,250,-0.822,15.727
0min1sec,8,260,-0.856,15.729
0min1sec,8,270,-1.045,15.735
0min1sec,8,280,-0.897,15.734
0min1sec,8,290,-0.943,15.738
0min1sec,8,300,-0.933,15.739
0min1sec,8,310,-0.951,15.743
0min1sec,8,320,-1.113,15.753
0min1sec,8,330,-1.154,15.758
0min1sec,8,340,-1.090,15.759
0min1sec,8,350,-1.103,15.755
0min1sec,8,360,-0.970,15.752
0min1sec,8,370,-0.958,15.754
0min1sec,8,380,-0.826,15.749
0min1sec,8,390,-0.647,15.739
0min1sec,8,400,-0.593,15.728
0min1sec,8,410,-0.716,15.732
0min1sec,8,420,-0.706,15.740
0min1sec,8,430,-0.818,15.746
0min1sec,8,440,-0.883,15.755
0min1sec,8,450,-0.788,15.756
0min1sec,8,460,-0.806,15.752
0min1sec,8,470,-0.748,15.750
0min1sec,8,480,-0.785,15.765
0min1sec,8,490,-0.764,15.762
0min1sec,8,500,-0.802,15.762
0min1sec,8,510,-0.745,15.759
0min1sec,8,520,-0.722,15.757
0min1sec,8,530,-0.604,15.747
0min1sec,8,540,-0.589,15.748
0min1sec,8,550,-0.582,15.753
0min1sec,8,560,-0.547,15.748
0min1sec,8,570,-0.457,15.748
0min1sec,8,580,-0.548,15.752
0min1sec,8,590,-0.556,15.748
0min1sec,8,600,-0.636,15.753
0min1sec,8,610,-0.629,15.751
0min1sec,8,620,-0.637,15.751
0min15sec,9,0,-10.437,16.405
0min1sec,9,10,-6.529,16.097
0min1sec,9,20,-3.496,15.816
0min1sec,9,30,-2.702,15.698
0min1sec,9,40,-1.441,15.729
0min1sec,9,50,-1.363,15.675
0min1sec,9,60,-1.288,15.679
0min1sec,9,70,-1.411,15.694
0min1sec,9,80,-1.474,15.715
0min1sec,9,90,-1.417,15.716
0min1sec,9,100,-1.388,15.717
0min1sec,9,110,-1.497,15.726
0min1sec,9,120,-1.218,15.735
0min1sec,9,130,-1.439,15.743
0min1sec,9,140,-1.412,15.748
0min1sec,9,150,-1.446,15.750
0min1sec,9,160,-1.474,15.752
0min1sec,9,170,-1.720,15.773
0min1sec,9,180,-2.038,15.779
0min1sec,9,190,-1.661,15.747
0min1sec,9,200,-1.450,15.726
0min1sec,9,210,-1.685,15.743
0min1sec,9,220,-1.762,15.741
0min1sec,9,230,-1.726,15.722
0min1sec,9,240,-1.651,15.719
0min1sec,9,250,-1.523,15.719
0min1sec,9,260,-1.525,15.717
0min1sec,9,270,-1.689,15.730
0min1sec,9,280,-1.662,15.730
0min1sec,9,290,-1.661,15.737
0min1sec,9,300,-1.535,15.726
0min1sec,9,310,-1.511,15.717
0min1sec,9,320,-1.508,15.716
0min1sec,9,330,-1.465,15.717
0min1sec,9,340,-1.369,15.712
0min1sec,9,350,-1.370,15.704
0min1sec,9,360,-1.317,15.704
0min1sec,9,370,-1.292,15.699
0min1sec,9,380,-1.189,15.700
0min1sec,9,390,-1.177,15.707
0min1sec,9,400,-1.247,15.705
0min1sec,9,410,-1.267,15.697
0min1sec,9,420,-1.287,15.702
0min1sec,9,430,-1.294,15.701
0min1sec,9,440,-1.320,15.700
0min1sec,9,450,-1.242,15.699
0min1sec,9,460,-1.211,15.691
0min1sec,9,470,-1.186,15.685
0min1sec,9,480,-1.240,15.697
0min1sec,9,490,-1.311,15.697
0min1sec,9,500,-1.416,15.698
0min1sec,9,510,-1.424,15.698
0min1sec,9,520,-1.449,15.700
0min1sec,9,530,-1.470,15.699
0min1sec,9,540,-1.444,15.698
